MarketValue_Differential,away_elo,home_elo,home_rolling_relative_shots,away_rolling_relative_shots,home_rolling_shot_efficiency,away_rolling_shot_efficiency,home_rolling_fouls,away_rolling_fouls,h2h_goal_difference,home_rolling_goals_scored,away_rolling_goals_scored,home_rolling_discipline_score,away_rolling_discipline_score,home_rolling_goals_conceded,away_rolling_goals_conceded,month,day_of_week,FTR,Date,HomeTeam,AwayTeam
-3.3199999999999994,1533.3297695648876,1490.7221159895535,-2.4,-4.0,0.1338961038961039,0.1256628787878788,11.0,12.75,0.0,1.2,1.75,1.7999999999999998,1.5,1.4,1.25,8,5,H,2007-08-18,Reading,Everton
4.57,1431.9191519077522,1477.905763772913,6.666666666666667,-8.0,0.13320064868052484,0.016666666666666666,12.0,15.333333333333334,0.0,2.3333333333333335,0.16666666666666666,2.0,1.5,3.3333333333333335,2.5,8,5,H,2007-08-18,Tottenham,Derby
0.40000000000000013,1465.0345280404697,1478.8100447575414,2.3333333333333335,-4.2,0.09047619047619049,0.09350649350649351,12.333333333333334,10.4,0.0,0.6666666666666666,0.8,2.3333333333333335,2.2,1.0,1.8,8,5,H,2007-08-18,Wigan,Sunderland
-0.3800000000000008,1511.6006543743954,1513.403868510467,7.4,-12.0,0.10448179271708684,0.5714285714285714,12.4,13.0,0.0,1.6,4.0,2.0,3.0,1.6,4.0,8,5,D,2007-08-18,Newcastle,Aston Villa
-0.8300000000000001,1486.6964205919123,1465.5418948545896,0.0,-1.0,0.2857142857142857,0.07692307692307693,17.0,16.333333333333332,0.0,2.0,1.0,1.0,2.0,2.0,0.6666666666666666,8,5,A,2007-08-18,Birmingham,West Ham
-1.2600000000000002,1484.1783935871617,1487.6456950069773,-2.75,-2.0,0.20352564102564102,0.04044117647058824,12.5,16.333333333333332,0.0,2.0,0.6666666666666666,2.25,2.3333333333333335,1.75,1.6666666666666667,8,5,A,2007-08-18,Fulham,Middlesbrough
1.8000000000000003,1453.3579119582166,1527.2955880088973,1.5,-3.0,0.07142857142857142,0.05411255411255411,13.5,13.333333333333334,0.0,0.5,0.6666666666666666,2.5,1.6666666666666667,0.5,2.3333333333333335,8,5,H,2007-08-18,Portsmouth,Bolton
-5.109999999999999,1534.0080346120442,1536.1256893081,4.25,-1.5,0.10272907239819004,0.15476190476190477,16.5,10.0,0.0,1.5,1.5,3.0,2.0,0.5,1.0,8,6,D,2007-08-19,Blackburn,Arsenal
-3.6900000000000004,1545.0527715000603,1509.0989115015986,13.0,4.0,0.18971704623878538,0.08846153846153847,13.0,11.0,0.0,4.0,1.25,0.0,2.0,0.6666666666666666,0.75,8,6,D,2007-08-19,Liverpool,Chelsea
-5.16,1544.9593427922782,1523.3134493601842,1.3333333333333333,3.5,0.1402116402116402,0.125,11.333333333333334,10.0,0.0,1.6666666666666667,1.5,1.6666666666666667,2.5,0.3333333333333333,1.5,8,6,H,2007-08-19,Man City,Man United
2.1800000000000006,1475.020952951866,1511.665529635467,-1.6,-6.0,0.14357864357864358,0.0,15.0,11.0,0.0,1.4,0.0,2.4,1.5,1.0,2.5,8,5,H,2007-08-25,Aston Villa,Fulham
1.1099999999999999,1490.8146902510973,1498.4362644920145,-2.0,-12.0,0.1111111111111111,0.0,13.0,12.0,0.0,1.0,0.0,2.0,3.5,1.0,2.5,8,5,D,2007-08-25,West Ham,Wigan
-5.63,1510.3878578376186,1453.0298825469138,8.0,2.0,0.05,0.03333333333333333,12.0,10.5,0.0,1.0,0.5,1.0,1.0,0.0,1.5,8,5,A,2007-08-25,Sunderland,Liverpool
-1.27,1453.8020509544874,1421.064058651017,0.0,-8.8,0.0,0.17619047619047618,0.0,13.6,0.0,0.0,1.2,0.0,1.6,0.0,2.2,8,5,A,2007-08-25,Derby,Birmingham
2.4599999999999995,1536.0495014994497,1519.3044747853164,9.0,0.0,0.19375,0.0,11.5,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,8,5,D,2007-08-25,Everton,Blackburn
3.33,1536.5912169301218,1534.0842224206945,2.6666666666666665,-5.0,0.19722222222222222,0.125,10.333333333333334,6.5,0.0,2.6666666666666665,0.5,1.3333333333333333,2.5,1.6666666666666667,1.0,8,5,H,2007-08-25,Arsenal,Man City
0.95,1504.7474107691246,1443.478590864187,-2.0,4.0,0.038461538461538464,0.07692307692307693,12.5,6.0,0.0,0.5,1.0,3.0,0.0,1.5,3.0,8,5,H,2007-08-25,Bolton,Reading
6.86,1537.174909102927,1543.7638251640403,6.0,0.0,0.12662337662337664,0.2148809523809524,10.5,16.75,0.0,1.5,2.5,2.5,2.25,0.0,1.25,8,5,H,2007-08-25,Chelsea,Portsmouth
-0.5399999999999996,1513.3389932493953,1496.803135642273,0.0,7.0,0.17692307692307693,0.05,10.5,17.0,0.0,1.5,1.0,1.0,3.0,0.5,3.0,8,6,D,2007-08-26,Middlesbrough,Newcastle
3.5300000000000002,1488.7608570296482,1531.6815752223406,10.0,-2.0,0.15034100596760444,0.17456617456617454,9.25,9.666666666666666,0.0,2.75,2.0,1.0,0.3333333333333333,0.25,2.0,8,6,H,2007-08-26,Man United,Tottenham
-3.94,1546.674417233225,1497.397612142819,2.0,-0.6666666666666666,0.17855477855477855,0.1365079365079365,11.333333333333334,11.666666666666666,0.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,2.6666666666666665,1.0,1.0,9,2,H,2007-09-12,Middlesbrough,Arsenal
0.2599999999999998,1491.0888544505406,1458.1603446489285,3.0,-8.333333333333334,0.0811965811965812,0.027777777777777776,11.666666666666666,12.0,0.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,3.0,1.0,2.0,9,2,H,2007-09-12,Bolton,Wigan
1.63,1524.0010221175912,1477.7972462820358,10.25,-6.0,0.13990048651039363,0.08333333333333333,11.0,7.333333333333333,0.0,2.75,0.3333333333333333,1.5,2.0,2.5,1.0,9,2,H,2007-09-12,Tottenham,Man City
